id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345493,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345493,MPV,291,1154,2023,"Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.  NOVA EMENTA: Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios; altera as Leis nºs 9.984, de 17 de julho de 2000, 9.433, de 8 de janeiro de 1997, 8.001, de 13 de março de 1990, 14.204, de 16 de setembro de 2021, 11.445, de 5 de janeiro de 2007, 13.334, de 13 de setembro de 2016, 12.897, de 18 de dezembro de 2013, 8.745, de 9 de dezembro de 1993, 9.069, de 29 de junho de 1995, e 10.668, de 14 de maio de 2003; e revoga dispositivos das Leis nºs 13.844, de 18 de junho de 2019, 13.901, de 11 de novembro de 2019, 14.261, de 16 de dezembro de 2021, e as Leis nºs 8.028, de 12 de abril de 1990, e 14.074, de 14 de outubro de 2020.",2023-01-01T17:36
2345494,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345494,MPV,291,1155,2023,Institui o Adicional Complementar do Programa Auxílio Brasil e do Programa Auxílio Gás dos Brasileiros,2023-01-02T18:00
2345495,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345495,MPV,291,1156,2023,"Dispõe sobre a extinção da Fundação Nacional de Saúde - FUNASA, instituída por autorização da Lei nº 8.029, de 12 de abril de 1990, e a absorção de suas competências, patrimônio e pessoal pela administração pública federal direta",2023-01-02T18:05
2345496,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345496,MPV,291,1157,2023,"Reduz as alíquotas da Contribuição para o Programa de Integração Social e o Programa de Formação do Patrimônio do Servidor Público - PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins incidentes sobre operações realizadas com óleo diesel,biodiesel, gás liquefeito de petróleo, álcool, querosene de aviação, gás natural veicular e gasolina",2023-01-02T18:11
2345497,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345497,PL,139,4031,2021,"Altera a Lei nº 13.315, de 20 de julho de 2016, que dispõe ""sobre a incidência do imposto de renda retido na fonte sobre remessas ao exterior de valores destinados à cobertura de gastos pessoais, à promoção de produtos, serviços e destinos turísticos brasileiros e de rendimentos provenientes de aposentadoria e pensão"", para isentar da cobrança do referido imposto os valores dos bens havidos, por herança ou doação, por residente ou domiciliado no exterior.",2023-01-03T12:01
2345498,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345498,PL,139,2,2023,"Altera a Lei nº 12.529, de 30 de novembro de 2011, para inserir nova infração concorrencial.",2023-01-03T12:36
2345499,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345499,PL,139,1604,2022,"Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para dispor sobre as medidas protetivas de urgência e estabelecer que a causa ou a motivação dos atos de violência e a condição do ofensor ou da ofendida não excluem a aplicação da Lei.",2023-01-03T12:55
2345500,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345500,PL,139,509,2020,Institui a Semana Nacional de Retiros Culturais.,2023-01-03T13:05
2345555,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345555,MPV,291,1158,2023,"Altera a Lei nº 9.069, de 29 de junho de 1995, a Lei nº 9.613, de 3 de março de 1998, e a Lei nº 13.974, de 7 de janeiro de 2020, para dispor sobre o Conselho Monetário Nacional e sobre a vinculação administrativa do Conselho de Controle de Atividades Financeiras ao Ministério da Fazenda",2023-01-12T10:48
2345556,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345556,MPV,291,1159,2023,"Altera a Lei nº 10.637, de 30 de dezembro de 2002, e a Lei nº 10.833, de 29 de dezembro de 2003, para excluir o Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação - ICMS da incidência e da base de cálculo dos créditos da Contribuição para o Programa de Integração Social e o Programa de Formação do Patrimônio do Servidor Público - PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social Cofins.",2023-01-12T10:48
2345557,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345557,MPV,291,1160,2023,"Dispõe sobre a proclamação do resultado do julgamento, na hipótese de empate na votação no âmbito do Conselho Administrativo de Recursos Fiscais, e sobre a conformidade tributária no âmbito da Secretaria Especial da Receita Federal do Brasil do Ministério da Fazenda e altera a Lei nº 13.988, de 14 de abril de 2020, para dispor sobre o contencioso administrativo fiscal de baixa complexidade",2023-01-12T11:01
2345625,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345625,PL,139,3,2023,"Cria o Protocolo Não é Não de atendimento à mulher vítima de violência sexual ou assédio em discotecas ou estabelecimentos noturnos, eventos festivos, bares, restaurantes ou qualquer outro estabelecimento de grande circulação de pessoas.   NOVA EMENTA: Cria o protocolo ""Não é Não"", para prevenção ao constrangimento e à violência contra a mulher e para proteção à vítima; institui o selo ""Não é Não - Mulheres Seguras""; e altera a Lei nº 14.597, de 14 de junho de 2023 (Lei Geral do Esporte).",2023-02-02T09:00
2345627,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345627,PL,139,4,2023,"Estabelece protocolo de segurança para as mulheres em casas de festas, discotecas, boates e bares, cria o Selo Não é Não – Mulheres Seguras e dá outras providências.",2023-02-02T09:00
2345628,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345628,PL,139,5,2023,"Dispõe sobre a substituição do símbolo indicativo representado por uma pessoa curvada de bengala em vagas, assentos, filas e outros lugares em que haja prioridade de atendimento à pessoa idosa.",2023-02-02T09:00
2345631,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345631,PL,139,6,2023,"Dá nova redação ao Parágrafo único do art. 13 da Lei nº 4.375, de 17 de agosto de 1964, “Lei do Serviço Militar”, para tornar facultativo o alistamento militar.",2023-02-02T09:00
2345634,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345634,PL,139,7,2023,"Altera o Decreto-Lei n. 236, de 28 de fevereiro de 1967.",2023-02-02T09:00
2345637,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345637,PL,139,8,2023,Veda o uso de equinos como arma e transporte em operações policiais.,2023-02-02T09:00
2345639,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345639,PL,139,9,2023,Institui o Registro Eletrônico de Vacinações dos Animais de Estimação e dá outras providências.,2023-02-02T09:00
